course_code,course_name
AGRI 891,DESIGN AND ANALYSIS OF EXPERIMENTS AGEC 850: STATISTICS FOR AGRICULTURE    AECC 881: BIOMETRY FOR AGRO-ECOLOGY AND CLIMATE CHANGE BOTA 803: BIOMETRY EXPERIMENTATION AND METHODOLOGY CHEM 801: ADVANCED CHEMOMETRICS MATH 800: BIOMETRY MEPA 830: BIOSTATISTICS AND EPIDEMIOLOGY
ANHE 0010,ANHE 00105: ANATOMY AND PHYSIOLOGY OF DOMESTIC ANIMALS
ANHE 0011,ANHE 00111/ 00115: PHYSIOLOGY OF DOMESTIC ANIMALS
ANHE 0012,"ANHE 00125: METABOLIC, NUTRITIONAL AND REPRODUCTIVE DISEASES"
ANHE 0013,ANHE 00135: ZOONOSES AND THE ONE HEALTH CONCEPT
ANHE 0026,"ANHE 00260: ANIMAL WELFARE, ETHICS AND LAW"
ANHE 0033,PARASITIC DISEASES
ANHE 0035,ANHE 00351: PUBLIC HEALTH AND ANIMAL PRODUCTS
ANHE 0111,GROSS ANATOMY
ANHE 0112,EMBRYOLOGY AND HISTOLOGY
ANHE 0114,PHYSIOLOGY OF DOMESTIC ANIMALS
ANHE 0121,GENERAL PATHOLOGY
ANHE 0122,BASIC MICROBIOLOGY
ANHE 0123,INTRODUCTION TO VETERINARY PARASITOLOGY
ANHE 0124,CLINICAL PATHOLOGY
ANHE 0126,ANIMAL HEALTH APPLIED SKILLS (PRACTICALS)
ANHE 0227,PHARMACOLOGY AND TOXICOLOGY
ANHE 0228,BASIC IMMUNOLOGY AND VACCINES
ANHE 0232,BACTERIAL AND FUNGAL DISEASES
ANHE 0236,"METABOLIC, NUTRITIONAL AND REPRODUCTIVE DISEASES"
ANHE 0251,"PUBLIC HEALTH, EPIDEMIOLOGY AND ANIMAL INDUSTRY"
ANHE 0260,"ANIMAL WELFARE, ETHICS AND LAW"
ANHE 0318,PHARMACOLOGY
ANHE 0336,PRINCIPLES OF DISEASE CONTROL
ANHE 0351,PUBLIC HEALTH AND ANIMAL INDUSTRY
ANHE 111,GROSS ANATOMY AND EMBRYOLOGY
ANHE 210,GROSS ANATOMY AND EMBRYOLOGY
ANHE 212,ANHE 212/5: ANIMAL PHYSIOLOGY
ANHE 215,ANIMAL PHYSIOLOGY
ANHE 216,REPRODUCTIVE PHYSIOLOGY
ANHE 322,MICROBIAL DISEASES
ANHE 423,VETERINARY PARASITOLOGY AND PARASITIC DISEASES
ANHE 426,ANHE 426/427: INTRODUCTION TO ANIMAL DISEASES
ANPT 231,MEAT QUALITY
ANPT 232,MILK MICROBIOLOGY AND HYGIENE
ANPT 342,MEAT EDIBLE BY-PRODUCTS PROCESSING
ANPT 433,ANIMAL PRDUCTS AND BY PRODUCTS RELATED LAWS
ANPT 443,SLAUGHTERING AND MEAT GRADING
ANPT 453,HIVE PRODUCTS PROCESSING TECHNOLOGY
ANPT 454,EGG SCIENCE TECHNOLOGY
ANPT 461,INEDIBLE MEAT BY-PRODUCTS PROCESSING TECHNOLOGY
ANSC 0013,ANSC 00133: ANIMAL NUTRITION AND LIVESTOCK FEEDING
ANSC 0014,ANSC 00141: BASIC ANIMAL GENETICS AND BREEDING
ANSC 0025,ANSC 00250: RUMINANT PRODUCTION SYSTEMS
ANSC 0026,ANSC 00260: NON-RUMINANT PRODUCTION SYSTEMS
ANSC 0036,ANSC 00360: NON-RUMINANT PRODUCTION
ANSC 0111,INTRODUCTION TO ANIMAL SCIENCE
ANSC 0221,ENVIRONMENTAL PHYSIOLOGY AND ETHOLOGY
ANSC 0233,ANIMAL NUTRITION AND LIVESTOCK FEEDING
ANSC 0241,ANIMAL BREEDING AND GENETICS
ANSC 0250,LIVESTOCK PRODUCTION – RUMINANT
ANSC 0260,ANIMAL WELFARE
ANSC 0268,AQUACULTURE AND APICULTURE
ANSC 0335,WILDLIFE NUTRITION
ANSC 111,INTRODUCTION TO ANIMAL SCIENCE
ANSC 221,"ENVIRNOMENTAL PHYSIOLOGY, ETHOLOGY AND ANIMAL WELFARE"
ANSC 231,ANIMAL NUTRITION
ANSC 241,QUANTITATIVE GENETICS AND ANIMAL BREEDING
ANSC 265,AQUACULTURE
ANSC 271,ANIMATICS (PRACTICAL)
ANSC 332,FEEDS AND FEEDING
ANSC 333,ANIMAL NUTRITION AND LIVESTOCK FEEDING
ANSC 334,BIOTECHNOLOGY IN ANIMAL NUTRITION
ANSC 342,BIOTECHNOLOGY IN ANIMAL BREEDING
